epoch,train_loss,train_acc@1,train_acc@5,test_loss,test_acc@1,test_acc@5
25,0.9704233527946472,65.968,96.636,0.8783616930007935,68.28999999999999,97.72999999999999
26,0.9610890232086181,66.326,96.54599999999999,0.8791595081329345,67.91,97.81
27,0.964745115737915,66.274,96.588,0.8553758959770202,68.93,97.86
28,0.9656282439804077,66.244,96.52,0.845904349899292,69.6,97.97
29,0.9666018444633484,66.14,96.592,0.8753254399299621,68.13,97.8
30,0.963954068031311,66.444,96.57,0.8649177379608154,68.97999999999999,97.8
31,0.9663687870025635,66.23599999999999,96.562,0.8790814866065979,68.28999999999999,97.71
32,0.9662062957382203,66.366,96.422,0.8626102756500245,68.72,97.94
33,0.9643990159988404,66.078,96.696,0.8562509192466736,68.84,97.94
34,0.9693012748718262,66.042,96.512,0.8675949584007263,68.61,97.87
35,0.9675719891548157,66.232,96.60600000000001,0.8773310061454773,68.08999999999999,97.58
36,0.9655768195915222,65.862,96.58200000000001,0.8564810081481934,68.78,97.98
37,0.9603286334991455,66.33,96.624,0.8600944133758545,69.26,97.78999999999999
38,0.9649469662666321,66.174,96.67999999999999,0.8561099717140198,69.32000000000001,97.82
39,0.9714003899002075,65.956,96.47200000000001,0.872887334060669,68.37,97.78
40,0.9682034394645691,66.116,96.50999999999999,0.876877942943573,68.45,97.92999999999999
41,0.9625928177642822,66.122,96.59400000000001,0.8689459127426148,68.54,97.91
42,0.9620653089904785,66.316,96.598,0.8670305419921875,68.47,97.98
43,0.9644701350784302,66.12,96.54,0.8662033078193665,68.47999999999999,97.89
44,0.9642692241287232,66.276,96.59400000000001,0.87680252161026,68.06,97.82
45,0.9610583226394653,66.25,96.694,0.8688652682304382,68.67,97.85000000000001
46,0.9621330085372924,66.266,96.612,0.8590978817939758,69.05,97.85000000000001
47,0.9632964793014527,66.308,96.46000000000001,0.8570642547607422,68.78999999999999,97.92
48,0.9648307228851318,66.27,96.554,0.8685911409378052,68.62,97.88
49,0.9664914296340943,66.104,96.624,0.8526739471435547,69.12,97.85000000000001
50,0.9655153333663941,65.944,96.586,0.8635885025024415,68.87,97.85000000000001
51,0.9615543188095093,66.244,96.774,0.8526683888435364,68.76,98.06
52,0.9645485976409912,66.23400000000001,96.478,0.870921338558197,68.28999999999999,97.74000000000001
53,0.9682049562835693,66.148,96.504,0.8671967360496521,68.88,97.78999999999999
54,0.9640538750457763,65.96,96.648,0.8660687935829162,68.60000000000001,97.95
55,0.9629189901542664,66.206,96.56400000000001,0.8645807216644287,68.62,97.89999999999999
56,0.9738821737480163,66.062,96.47,0.8623246606826782,68.85,97.85000000000001
57,0.9659459566879273,66.11,96.698,0.8711952532768249,68.23,97.74000000000001
58,0.970381290473938,65.926,96.608,0.8659982502937317,68.78999999999999,97.87
59,0.9622201664924621,66.298,96.64,0.864347984790802,68.45,97.97
60,0.963868618183136,66.314,96.54,0.8678865938186645,68.54,97.68
61,0.9737858227157593,65.86800000000001,96.562,0.8584538765907288,69.1,97.89999999999999
62,0.9580897402191162,66.12400000000001,96.69,0.8634072426795959,68.95,97.78999999999999
63,0.9634296277618408,66.27199999999999,96.64,0.8751730427742005,68.49,97.78999999999999
64,0.9576144234085083,66.742,96.568,0.8828523189544678,67.86,97.69
65,0.9687695214653015,65.95400000000001,96.572,0.8650561388015747,68.45,97.87
66,0.9659271101379394,66.16199999999999,96.48400000000001,0.8586355116844178,68.91000000000001,97.85000000000001
67,0.9643926473808289,66.12400000000001,96.586,0.8565315933227539,68.85,98.00999999999999
68,0.9667750709915162,66.11,96.48400000000001,0.8535238306045532,69.34,97.84
69,0.9610362710571289,66.336,96.60600000000001,0.8539664881706238,69.22,97.89999999999999
70,0.9634938189315796,66.388,96.596,0.853789802646637,69.11,97.89999999999999
71,0.959811890449524,66.56,96.596,0.8695737771987915,68.86,97.75
72,0.9669938203048706,66.132,96.714,0.8767280471801758,68.22,97.71
73,0.9633535244369507,66.256,96.556,0.8661056193351746,68.8,97.82
74,0.962856685256958,66.158,96.602,0.850911408996582,69.21000000000001,97.89
75,0.9588412107467651,66.458,96.7,0.8679909503936768,68.63,97.84
76,0.9605461184310913,66.486,96.596,0.8650279020309448,68.54,97.86
77,0.9654598797988891,66.116,96.49600000000001,0.8562910648345947,69.22,97.97
78,0.9648470196342468,66.094,96.492,0.8703511939048767,68.65,97.84
79,0.9664491007614135,66.25,96.576,0.8534238208770752,69.19,97.87
